sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
SK-GT-4	amplicon1	Linear amplification_1	ARHGAP5	5.455411575382751	3p	False
SK-GT-4	amplicon1	Linear amplification_1	ARHGAP5-AS1	5.455411575382751	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	AKAP6	7.198744611224134	5p	False
SK-GT-4	amplicon2	Complex non-cyclic_1	BAZ1A	8.869419220173317	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	BRMS1L	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	CFL2	7.917203804604207	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	EAPP	11.151947911326653	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	EGLN3	11.151947911326653	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	FAM177A1	8.869419220173317	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	IGBP1P1	8.869419220173317	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	INSM2	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	MBIP	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	NFKBIA	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	NKX2-1	7.3115486700725265	None	True
SK-GT-4	amplicon2	Complex non-cyclic_1	NKX2-1-AS1	7.3115486700725265	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	NKX2-8	7.3115486700725265	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	NPAS3	9.157968887191164	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	PAX9	7.3115486700725265	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	PPP2R3C	8.869419220173317	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	PRORP	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	PSMA6	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	PTCSC3	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	RALGAPA1	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	RPL10L	8.876559171333858	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SFTA3	7.3115486700725265	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SLC25A21	9.980867322358081	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SLC25A21-AS1	4.9787457432631665	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SNORA101B	8.869419220173318	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SNORA89	7.533835190467206	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SNX6	11.151947911326653	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SPTSSA	11.151947911326653	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SRP54	8.869419220173317	None	False
SK-GT-4	amplicon2	Complex non-cyclic_1	SRP54-AS1	8.869419220173317	None	False
