sample	amplicon	feature	total_feature_entropy	decomp_entropy	Amp_nseg_entropy
OACP4-C	amplicon1	ecDNA_1	3.7013029734806784	0.868089629424462	2.833213344056216
OACP4-C	amplicon10	ecDNA_1	0.18121844640063686	0.18121844640063686	-0.0
OACP4-C	amplicon11	Complex non-cyclic_1	5.496766312594104	1.8332046664644586	3.6635616461296463
OACP4-C	amplicon12	ecDNA_1	3.045153522540851	0.6472582497424804	2.3978952727983707
OACP4-C	amplicon13	ecDNA_1	2.5841761077634624	0.2815910147694167	2.3025850929940455
OACP4-C	amplicon14	ecDNA_1	2.1557714344961934	0.3640119652681385	1.791759469228055
OACP4-C	amplicon15	Complex non-cyclic_1	2.4412172366460547	0.36177569496621875	2.0794415416798357
OACP4-C	amplicon16	Linear amplification_1	1.8795265499065912	0.49323218878670066	1.3862943611198906
OACP4-C	amplicon17	ecDNA_1	0.26083980239855237	0.26083980239855237	-0.0
OACP4-C	amplicon18	ecDNA_1	0.2460149335059247	0.2460149335059247	-0.0
OACP4-C	amplicon19	Linear amplification_1	0.7453974642773223	0.05225028371737705	0.6931471805599453
OACP4-C	amplicon2	ecDNA_1	3.272108774926501	0.6330514453112424	2.639057329615259
OACP4-C	amplicon20	ecDNA_1	2.770447506282469	0.6910059646026332	2.0794415416798357
OACP4-C	amplicon21	Linear amplification_1	1.7528877138307772	0.36659335271088667	1.3862943611198906
OACP4-C	amplicon22	Linear amplification_1	4.427272580636764	1.382750142913341	3.044522437723423
OACP4-C	amplicon23	ecDNA_1	0.21999026846938352	0.21999026846938352	-0.0
OACP4-C	amplicon24	ecDNA_1	2.966291031950434	0.5683957591520632	2.3978952727983707
OACP4-C	amplicon25	Linear amplification_1	2.5617830222816806	0.6158728732263674	1.9459101490553135
OACP4-C	amplicon26	ecDNA_1	0.18462054097322972	0.18462054097322972	-0.0
OACP4-C	amplicon27	ecDNA_1	2.8953826841161523	0.592797591122107	2.3025850929940455
OACP4-C	amplicon3	ecDNA_1	2.0818908978532575	0.695596536733367	1.3862943611198906
OACP4-C	amplicon4	ecDNA_1	0.3448938809703611	0.3448938809703611	-0.0
OACP4-C	amplicon5	ecDNA_1	0.24104364747015208	0.24104364747015208	-0.0
OACP4-C	amplicon6	Linear amplification_1	0.8797594459145037	0.18661226535455844	0.6931471805599453
OACP4-C	amplicon7	ecDNA_1	2.1307297419124986	0.33897027268444374	1.791759469228055
OACP4-C	amplicon8	ecDNA_1	3.323706054205967	0.684648724590708	2.639057329615259
OACP4-C	amplicon9	ecDNA_1	2.1112781496205217	0.7249837885006313	1.3862943611198906
